extension,magic_number
cwk,02 00 5a 57 52 54 00 00 00 00 00 00 00 00 00 00
wk1,00 00 02 00 06 04 06 00 08 00 00 00 00 00
wk3,00 00 1A 00 00 10 04 00 00 00 00 00
wk4,00 00 1A 00 02 10 04 00 00 00 00 00
wk5,00 00 1A 00 02 10 04 00 00 00 00 00
123,00 00 1A 00 05 10 04
qxd,00 00 49 49 58 50 52 ( little-endian ) 00 00 4D 4D 58 50 52 ( big-endian )
psafe3,50 57 53 33
pcap,D4 C3 B2 A1 ( little-endian )
pcap,4D 3C B2 A1 (little-endian)
pcapng,0A 0D 0D 0A
rpm,ED AB EE DB
sqlitedb,53 51 4C 69 74 65 20 66 6F 72 6D 61 74 20 33 00
sqlite,53 51 4C 69 74 65 20 66 6F 72 6D 61 74 20 33 00
db,53 51 4C 69 74 65 20 66 6F 72 6D 61 74 20 33 00
bin,53 50 30 31
wad,49 57 41 44
pic,00
pif,00
sea,00
ytr,00
pdb,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
dba,BE BA FE CA
dba,00 01 42 44
tda,00 01 44 54
tdf$,54 44 46 24
tdef,54 44 45 46
ico,00 00 01 00
icns,69 63 6e 73
3gp,66 74 79 70 33 67
3g2,66 74 79 70 33 67
heic,66 74 79 70 68 65 69 63 66 74 79 70 6d
z,1F 9D
tar.z,1F 9D
z,1F A0
tar.z,1F A0
lzh,2D 6C 68 30 2D
lzh,2D 6C 68 35 2D
bac,42 41 43 4B 4D 49 4B 45 44 49 53 4B
idx,49 4E 44 58
plist,62 70 6C 69 73 74
bz2,42 5A 68
gif,47 49 46 38 37 61 47 49 46 38 39 61
tif,49 49 2A 00 (little-endian)
tiff,49 49 2A 00 (little-endian)
tif,49 49 2B 00 (little-endian)
tiff,49 49 2B 00 (little-endian)
cr2,49 49 2A 00 10 00 00 00 43 52
cr3,66 74 79 70 63 72 78 43 52
cin,80 2A 5F D7
nui,4E 55 52 55 49 4D 47 4E 55 52 55 50 41 4C
nup,4E 55 52 55 49 4D 47 4E 55 52 55 50 41 4C
dpx,53 44 50 58 ( big-endian format)
exr,76 2F 31 01
bpg,42 50 47 FB
jpg,FF D8 FF DB
jpeg,FF D8 FF DB
jpg,FF D8 FF E0
jp2,00 00 00 0C 6A 50 20 20 0D 0A 87 0A
j2k,00 00 00 0C 6A 50 20 20 0D 0A 87 0A
jpf,00 00 00 0C 6A 50 20 20 0D 0A 87 0A
jpm,00 00 00 0C 6A 50 20 20 0D 0A 87 0A
jpg2,00 00 00 0C 6A 50 20 20 0D 0A 87 0A
j2c,00 00 00 0C 6A 50 20 20 0D 0A 87 0A
jpc,00 00 00 0C 6A 50 20 20 0D 0A 87 0A
jpx,00 00 00 0C 6A 50 20 20 0D 0A 87 0A
mj2,00 00 00 0C 6A 50 20 20 0D 0A 87 0A
qoi,71 6F 69 66
ilbm,46 4F 52 4D ?? ?? ?? ?? 49 4C 42 4D
lbm,46 4F 52 4D ?? ?? ?? ?? 49 4C 42 4D
ibm,46 4F 52 4D ?? ?? ?? ?? 49 4C 42 4D
iff,46 4F 52 4D ?? ?? ?? ?? 49 4C 42 4D
8svx,46 4F 52 4D ?? ?? ?? ?? 38 53 56 58
8sv,46 4F 52 4D ?? ?? ?? ?? 38 53 56 58
svx,46 4F 52 4D ?? ?? ?? ?? 38 53 56 58
snd,46 4F 52 4D ?? ?? ?? ?? 38 53 56 58
iff,46 4F 52 4D ?? ?? ?? ?? 38 53 56 58
acbm,46 4F 52 4D ?? ?? ?? ?? 41 43 42 4D
iff,46 4F 52 4D ?? ?? ?? ?? 41 43 42 4D
anbm,46 4F 52 4D ?? ?? ?? ?? 41 4E 42 4D
iff,46 4F 52 4D ?? ?? ?? ?? 41 4E 42 4D
anim,46 4F 52 4D ?? ?? ?? ?? 41 4E 49 4D
iff,46 4F 52 4D ?? ?? ?? ?? 41 4E 49 4D
faxx,46 4F 52 4D ?? ?? ?? ?? 46 41 58 58
fax,46 4F 52 4D ?? ?? ?? ?? 46 41 58 58
iff,46 4F 52 4D ?? ?? ?? ?? 46 41 58 58
ftxt,46 4F 52 4D ?? ?? ?? ?? 46 54 58 54
iff,46 4F 52 4D ?? ?? ?? ?? 46 54 58 54
smus,46 4F 52 4D ?? ?? ?? ?? 53 4D 55 53
smu,46 4F 52 4D ?? ?? ?? ?? 53 4D 55 53
mus,46 4F 52 4D ?? ?? ?? ?? 53 4D 55 53
iff,46 4F 52 4D ?? ?? ?? ?? 53 4D 55 53
cmus,46 4F 52 4D ?? ?? ?? ?? 43 4D 55 53
mus,46 4F 52 4D ?? ?? ?? ?? 43 4D 55 53
iff,46 4F 52 4D ?? ?? ?? ?? 43 4D 55 53
yuvn,46 4F 52 4D ?? ?? ?? ?? 59 55 56 4E
yuv,46 4F 52 4D ?? ?? ?? ?? 59 55 56 4E
iff,46 4F 52 4D ?? ?? ?? ?? 59 55 56 4E
iff,46 4F 52 4D ?? ?? ?? ?? 46 41 4E 54
aiff,46 4F 52 4D ?? ?? ?? ?? 41 49 46 46
aif,46 4F 52 4D ?? ?? ?? ?? 41 49 46 46
aifc,46 4F 52 4D ?? ?? ?? ?? 41 49 46 46
snd,46 4F 52 4D ?? ?? ?? ?? 41 49 46 46
iff,46 4F 52 4D ?? ?? ?? ?? 41 49 46 46
lz,4C 5A 49 50
cpio,30 37 30 37 30 31
cpio,30 37 30 37 30 32
cpio,30 37 30 37 30 37
exe,4D 5A
dll,4D 5A
mui,4D 5A
sys,4D 5A
scr,4D 5A
cpl,4D 5A
ocx,4D 5A
