magic_number,ASCII,offset,extension,description
23 21,#!,0,,Script or data to be passed to the program following theshebang(#!)[1]
02 00 5a 57 52 54 00 00 00 00 00 00 00 00 00 00,␂␀ZWRT␀␀␀␀␀␀␀␀␀␀,0,cwk,Claris Works word processing doc
00 00 02 00 06 04 06 00 08 00 00 00 00 00,␀␀␂␀␆␄␆␀␈␀␀␀␀␀,0,wk1,Lotus 1-2-3 spreadsheet (v1) file
00 00 1A 00 00 10 04 00 00 00 00 00,␀␀␚␀␀␊␄␀␀␀␀␀,0,wk3,Lotus 1-2-3 spreadsheet (v3) file
00 00 1A 00 02 10 04 00 00 00 00 00,␀␀␚␀␂␊␄␀␀␀␀␀,0,wk4wk5,"Lotus 1-2-3 spreadsheet (v4, v5) file"
00 00 1A 00 05 10 04,␀␀␚␀␅␊␄,0,123,Lotus 1-2-3 spreadsheet (v9) file
00 00 03 F3,␀␀␃ó,0,,Amiga Hunk executable file
00 00 49 49 58 50 52(little-endian)00 00 4D 4D 58 50 52(big-endian),␀␀IIXPR␀␀MMXPR,0,qxd,Quark Express document
50 57 53 33,PWS3,0,psafe3,Password Gorilla Password Database
D4 C3 B2 A1(little-endian),ÔÃ²¡,0,pcap,Libpcap File Format[2]
A1 B2 C3 D4(big-endian),¡²ÃÔ,,,
4D 3C B2 A1(little-endian),M<²¡,0,pcap,Libpcap File Format (nanosecond-resolution)[2]
A1 B2 3C 4D(big-endian),¡²<M,,,
0A 0D 0D 0A,␊␍␍␊,0,pcapng,PCAP Next Generation Dump File Format[3]
ED AB EE DB,í«îÛ,0,rpm,RedHat Package Manager (RPM) package[4]
53 51 4C 69 74 65 20 666F 72 6D 61 74 20 33 00,SQLite format 3␀,0,sqlitedbsqlitedb,SQLite Database[5]
53 50 30 31,SP01,0,bin,Amazon Kindle Update Package[6]
49 57 41 44,IWAD,0,wad,internal WAD (main resource file ofDoom)[7]
00,␀,0,PICPIFSEAYTR,IBM Storyboard bitmap fileWindowsProgram Information FileMacStuffitSelf-Extracting ArchiveIRISOCRdata file
00 00 00 00 00 00 00 0000 00 00 00 00 00 00 0000 00 00 00 00 00 00 00,␀␀␀␀␀␀␀␀␀␀␀␀␀␀␀␀␀␀␀␀␀␀␀␀,11,PDB,PalmPilotDatabase/Document File
BE BA FE CA,¾ºþÊ,0,DBA,PalmDesktop Calendar Archive
00 01 42 44,␀␁BD,0,DBA,Palm Desktop To Do Archive
00 01 44 54,␀␁DT,0,TDA,Palm Desktop Calendar Archive
54 44 46 24,TDF$,0,TDF$,Telegram Desktop File
54 44 45 46,TDEF,0,TDEF,Telegram Desktop Encrypted File
00 01 00 00,␀␁␀␀,0,,Palm Desktop Data File (Accessformat)
00 00 01 00,␀␀␁␀,0,ico,Computer iconencoded inICO file format[8]
69 63 6e 73,icns,0,icns,Apple Icon Image format
66 74 79 70 33 67,ftyp3g,4,3gp3g2,3rd Generation Partnership Project3GPPand3GPP2multimedia files
66 74 79 70 68 65 69 6366 74 79 70 6d,ftypheic,4,heic,High Efficiency Image Container (HEIC)
1F 9D,␟□,0,ztar.z,compressed file (oftentarzip) usingLempel-Ziv-Welchalgorithm
1F A0,␟⍽,0,ztar.z,Compressed file (often tar zip) usingLZHalgorithm
2D 6C 68 30 2D,-lh0-,2,lzh,Lempel Ziv Huffman archive fileMethod 0 (No compression)
2D 6C 68 35 2D,-lh5-,2,lzh,Lempel Ziv Huffman archive fileMethod 5 (8 KiB sliding window)
42 41 43 4B 4D 49 4B 4544 49 53 4B,BACKMIKEDISK,0,bac,AmiBackAmigaBackupdata file
49 4E 44 58,INDX,0,idx,AmiBackAmigaBackupindex file
62 70 6C 69 73 74,bplist,0,plist,BinaryProperty Listfile
42 5A 68,BZh,0,bz2,Compressed file usingBzip2algorithm
47 49 46 38 37 6147 49 46 38 39 61,GIF87aGIF89a,0,gif,Image file encoded in theGraphics Interchange Format(GIF)[9]
49 49 2A 00(little-endian),II*␀,0,tiftiff,Tagged Image File Format(TIFF)[10]
4D 4D 00 2A(big-endian),MM␀*,,,
49 49 2B 00(little-endian),II+␀,0,tiftiff,BigTIFF[11]
4D 4D 00 2B(big-endian),MM␀+,0,,
49 49 2A 00 10 00 00 0043 52,II*␀␐␀␀␀CR,0,cr2,Canon RAW Format Version 2[12]Canon's RAW format is based on TIFF.[13]
66 74 79 70 63 72 7843 52,ftypcrx,0,cr3,
80 2A 5F D7,€*_×,0,cin,KodakCineon image
52 4E 43 0152 4E 43 02,RNC␁RNC␂,0,,Compressed file using Rob Northen Compression (version 1 and 2) algorithm[14]
4E 55 52 55 49 4D 474E 55 52 55 50 41 4C,NURUIMGNURUPAL,0,nuinup,nuru ASCII/ANSI image and palette files[15]
53 44 50 58(big-endianformat),SDPX,0,dpx,SMPTEDPX image
58 50 44 53(little-endianformat),XPDS,,,
76 2F 31 01,v/1␁,0,exr,OpenEXR image
42 50 47 FB,BPGû,0,bpg,Better Portable Graphicsformat[16]
FF D8 FF DB,ÿØÿÛ,0,jpgjpeg,JPEGraw or in theJFIForExiffile format[17]
FF D8 FF E0 00 10 4A 4649 46 00 01,ÿØÿà␀␐JFIF␀␁,,,
FF D8 FF EE,ÿØÿî,,,
FF D8 FF E1 ?? ?? 45 7869 66 00 00,ÿØÿá??Exif␀␀,,,
FF D8 FF E0,ÿØÿà,0,jpg,JPEGraw or in theJFIForExiffile format[17]
