extension,offset,magic_number
cwk,0,02005A57525400000000000000000000
wk1,0,0000020006040600080000000000
wk3,0,00001A000010040000000000
wk4,0,00001A000210040000000000
wk5,0,00001A000210040000000000
123,0,00001A00051004
qxd,0,00004949585052(LITTLE-ENDIAN)00004D4D585052(BIG-ENDIAN)
psafe3,0,50575333
pcap,0,D4C3B2A1(LITTLE-ENDIAN)
pcap,0,4D3CB2A1(LITTLE-ENDIAN)
pcapng,0,0A0D0D0A
rpm,0,EDABEEDB
sqlitedb,0,53514C69746520666F726D6174203300
sqlite,0,53514C69746520666F726D6174203300
db,0,53514C69746520666F726D6174203300
bin,0,53503031
wad,0,49574144
pic,0,00
pif,0,00
sea,0,00
ytr,0,00
pdb,0,000000000000000000000000000000000000000000000000
dba,0,BEBAFECA
dba,0,00014244
tda,0,00014454
tdf$,0,54444624
tdef,0,54444546
ico,0,00000100
icns,0,69636E73
3gp,0,667479703367
3g2,0,667479703367
heic,0,6674797068656963667479706D
z,0,1F9D
tar.z,0,1F9D
z,0,1FA0
tar.z,0,1FA0
lzh,0,2D6C68302D
lzh,0,2D6C68352D
bac,0,4241434B4D494B454449534B
idx,0,494E4458
plist,0,62706C697374
bz2,0,425A68
gif,0,474946383761474946383961
tif,0,49492A00(LITTLE-ENDIAN)
tiff,0,49492A00(LITTLE-ENDIAN)
tif,0,49492B00(LITTLE-ENDIAN)
tiff,0,49492B00(LITTLE-ENDIAN)
cr2,0,49492A00100000004352
cr3,0,667479706372784352
cin,0,802A5FD7
nui,0,4E555255494D474E55525550414C
nup,0,4E555255494D474E55525550414C
dpx,0,53445058(BIG-ENDIANFORMAT)
exr,0,762F3101
bpg,0,425047FB
jpg,0,FFD8FFDB
jpeg,0,FFD8FFDB
jpg,0,FFD8FFE0
jp2,0,0000000C6A5020200D0A870A
j2k,0,0000000C6A5020200D0A870A
jpf,0,0000000C6A5020200D0A870A
jpm,0,0000000C6A5020200D0A870A
jpg2,0,0000000C6A5020200D0A870A
j2c,0,0000000C6A5020200D0A870A
jpc,0,0000000C6A5020200D0A870A
jpx,0,0000000C6A5020200D0A870A
mj2,0,0000000C6A5020200D0A870A
qoi,0,716F6966
lz,0,4C5A4950
cpio,0,303730373031
cpio,0,303730373032
cpio,0,303730373037
exe,0,4D5A
dll,0,4D5A
mui,0,4D5A
sys,0,4D5A
scr,0,4D5A
cpl,0,4D5A
ocx,0,4D5A
ax,0,4D5A
iec,0,4D5A
ime,0,4D5A
rs,0,4D5A
tsp,0,4D5A
fon,0,4D5A
efi,0,4D5A
ssp,0,534D534E46323030
